bbk_full;bbk_abb;description;changes;;;
;48.4;Ветеринарная микробиология, вирусология, паразитологи и иммунология;;;;
;48.5;Ветеринарная фармакология, токсикология и фармация;;;;
;48.6;Ветеринарная диагностика и терапия болезней животных.;;;;
;;Ветеринарная радиология;;;;
48.7;48.7;Частная патология и терапия болезней животных;;;;
48.72;48.72;Внутренние незаразные болезни животных;;;;
48.73;48.73;Инфекционные и инвазионные (паразитарные) болезни животных.;;;;
;;Микозы животных;;;;
48.75;48.75;Ветеринарная хирургия;;;;
48.76;48.76;Ветеринарное акушерство и гинекология. Ветеринарная;;;;
;;андрология;;;;
;48.8;Судебная ветеринария;;;;
;48.9;Военная ветеринария;;;;
;49;Сельское и лесное хозяйство отдельных территорий;;;;
5;5;Здравоохранение. Медицинские науки;;;;
5г;5г;История медицины и здравоохранения;;;;
51;51;Социальная медицина и организация здравоохранения. Гигиена.;;;;
;;Эпидемиология;;;;
51.1;51.1;Социальная медицина и организация здравоохранения;;;;
;51.1ж;Сотрудничество в области социальной медицины и организации;;;;
;;здравоохранения;;;;
;;;;;;
;51.1л;Учреждения и организации здравоохранения;;;;
;51.1п;Медицинские кадры;;;;
51.1(2);;;См. 51.1;;;
;;;СТ. 51.1(2);;;
;;;Социальная медицина и организация здравоохранения в России и СССР;;;
51.1(2)1;;;См. 51.11;;;
;;;СТ. 51.1(2Рос),1;;;
;;;Санитарно-эпидемиологическая служба;;;
51.1(2);;;См. 51.12;;;
;;;СТ. 51.1(2Рос),2;;;
;;;Лечебно-профилактическая помощь;;;
51.1(2)3;;;См. 51.13;;;
;;;СТ. 51.1(2Рос),3;;;
;;;Медицинская экспертиза. Экспертиза трудоспособности и медицинская реабилитация;;;
;;;больных;;;
51.1(2)4;;;См. 51.14;;;
;;;СТ. 51.1(2Рос),4;;;
;;;Охрана материнства и детства;;;
51.1(2)5;;;См. 51.15;;;
;;;СТ. 51.1(2Рос),5;;;
;;;Санитарное просвещение;;;
51.1(2)6;;;См. 51.16;;;
;;;СТ. 51.1(2Рос),6;;;
;;;Участие общественности в деле здравоохранения;;;
51.1(3);;;См. 51.1;;;
;;;СТ. 51.1(4/ 8);;;
;;;Социальная медицина и организация здравоохранения в;;;
;;;;;;
;;;зарубежных странах и частях;;;
;;;света;;;
;51.11;Санитарно-эпидемиологическая служба;;;;
;51.12;Лечебно-профилактическая помощь;;;;
;51.13;Медицинская экспертиза. Экспертиза трудоспособности и;;;;
;;медицинская реабилитация больных;;;;
;51.14;Охрана материнства и детства;;;;
;51.15;Санитарное просвещение;;;;
;51.16;Участие общественности в деле здравоохранения;;;;
51.2;51.2;Гигиена;;;;
51.20;51.20;Общая гигиена;;;;
51.204;51.204;Личная гигиена. Гигиена быта и отдыха. Психогигиена;;;;
51.204.0;51.204.0;Здоровый образ жизни человека;;;;
51.204.1;51.204.1;Медицинская косметология;;;;
;51.204.2;Гигиена зубов и полости рта;;;;
;51.204.3;Гигиена зрения и слуха;;;;
;51.204.4;Гигиена сна;;;;
;51.204.6;Гигиена одежды, обуви и предметов личного обихода;;;;
;51.204.7;Гигиена быта и отдыха;;;;
;51.204.8;Психогигиена;;;;
51.204.9;51.204.9;Возрастная гигиена;;;;
51.21;51.21;Коммунальная гигиена. Гигиена населённых мест;;;;
51.22;51.22;Гигиена транспорта;;;;
51.23;51.23;Гигиена питания;;;;
51.230;51.230;Физиологические основы гигиены питания. Рациональное;;;;
;;питание (диетология);;;;
;51.231;Санитарно-пищевой надзор;;;;
;51.234;Профилактика пищевых отравлений;;;;
;51.235;Гигиена приготовления пищи, обработки и хранения;;;;
;;пищевых продуктов;;;;
;51.236;Гигиена торговли пищевыми продуктами и общественного питания;;;;
;51.237;Гигиена посуды и пищевой тары;;;;
;51.238;гигиена отдельных пищевых продуктов;;;;
;;;;;;
;51.239;Гигиена пищевой промышленности;;;;
51.24;51.24;Гигиена труда;;;;
51.244;51.244;Профессиональная патология и её профилактика;;;;
51.245;51.245;Гигиена труда на отдельных производствах, предприятиях и на;;;;
;;транспорте;;;;
;51.246;Гигиена труда в отдельных учреждениях;;;;
;51.247;Гигиена труда отдельных групп населения;;;;
;51.248;Гигиена труда в особых климатических условиях;;;;
51.26;51.26;Радиационная гигиена;;;;
51.28;51.28;Гигиена детей и подростков;;;;
51.9;51.9;Эпидемиология;;;;
51.94;51.94;Частная эпидемиология;;;;
52;52;Общая патология. Медицинская вирусология, микробиология и паразитология. Медицинская иммунология. Фармакология,;;;;
;;фармация и токсикология;;;;
52.5;52.5;Общая патология;;;;
52.54;;;См. 52.7 Медицинская;;;
;;;иммунология. Иммунопатология;;;
52.6;52.6;Медицинская вирусология, микробиология и паразитология;;;;
52.63;52.63;Медицинская вирусология;;;;
52.64;52.64;Медицинская микробиология;;;;
;52.66;Биопрепараты;;;;
52.67;52.67;Медицинская паразитология;;;;
;52.7;Медицинская иммунология. Иммунопатология;;;;
52.8;52.8;Фармакология. Фармация. Токсикология;;;;
;52.8я2;Фармакологические справочники;;;;
52.81;52.81;Фармакология;;;;
52.81я2;;;См. 52.8я2 Фармакологические;;;
;;;справочники;;;
52.82;52.82;Фармация;;;;
52.84;52.84;Токсикология;;;;
53/57;53/57;Клиническая медицина;;;;
53;53;Клиническая медицина в целом;;;;
53.4;53.4;Общая диагностика;;;;
;;;;;;
53.5;53.5;Общая терапия;;;;
53.51;53.51;Диетотерапия;;;;
53.52;53.52;Лекарственная терапия. Фитотерапия;;;;
53.53;53.53;Биологические методы лечения;;;;
53.54;53.54;Физиотерапия и курортология;;;;
53.55;;;См. 53.54 Фитотерапия и;;;
;;;курортология;;;
;53.55;Эфферентная терапия. Детоксикационная терапия;;;;
53.57;53.57;Психотерапия;;;;
53.58;53.58;Другие методы лечения;Экстракорпоральная детоксикация см. 53.55 Эфферентная терапия.;;;
;;;Детоксикационная терапия;;;
53.584;53.584;Рефлексотерапия;;;;
53.59;53.59;Отдельные системы лечения. Народная медицина;;;;
53.6;53.6;Медицинская радиология и рентгенология;;;;
;53.7;Анестезиология и реаниматология;;;;
54.1;54.1;Внутренние болезни;;;;
54.10;54.10;Болезни системы кровообращения и лимфообращения.;;;;
;;Клиническая кардиология и ангиология;;;;
54.101;54.101;Болезни сердца;;;;
54.102;54.102;Болезни кровеносных сосудов;;;;
54.103;54.103;Болезни лимфатических сосудов. Клиническая лимфология;;;;
54.11;54.11;Болезни системы кроветворения и крови. Клиническая;;;;
;;гематология;;;;
54.12;54.12;Болезни системы дыхания. Клиническая пульмонология;;;;
54.13;54.13;Болезни системы пищеварения, печени. Клиническая;;;;
;;гастроэнтерология;;;;
54.132;54.132;Болезни желудка и двенадцатиперстной кишки;;;;
54.133;54.133;Болезни кишечника;;;;
;54.134;Болезни прямой кишки;;;;
;54.135;Болезни печени, желчного пузыря и желчных путей. Клиническая;;;;
;;гепатология;;;;
;54.136;Болезни поджелудочной железы;;;;
;54.14;Болезни почек. Клиническая нефрология;;;;
;;;;;;
54.15;;54.15;;;;
54.17;54.17;;Болезни средостения. Болезни диафрагмы;;;
54.18;54.18;;;Болезни эндокринной системы и обмена веществ;;
54.19;54.19;;;;;
54.194;54.194;;;Болезни опорно-двигательной системы;;
54.5;54.5;;;Другие внутренние болезни;;
54.54;54.54;;;Отравления;;
;54.56;;;Хирургия;;
54.57;54.57;;;Оперативная хирургия. Топографическая анатомия;;
54.58;54.58;;;Общая хирургическая патология;;
;54.59;;;Хирургия отдельных областей, систем и органов;;
55.1;55.1;;;Травматология и ортопедия;;
55.14;55.14;;;Военно-полевая хирургия;;
55.141;55.141;;;Инфекционные и паразитарные болезни;;
55.142;55.142;;;Инфекционные болезни;;
55.144;55.144;;;Кишечные инфекции;;
;55.145;;;Инфекции дыхательных путей (воздушно-капельные инфекции);;
;;;;Кровяные инфекции Трансмиссивные инфекции;;
55.146;55.146;;;ВИЧ-инфекция. СПИД (синдром приобретённого;;
55.148;;;;иммунодефицита);;
;;;;Инфекции наружных покровов. Зоонозы;;
;55.149;;;;См. 55.145 ВИЧ-инфекция. СПИД (синдром приобретённого;
55.17;55.17;;;;иммунодефицита);
55.4;55.4;;;Другие инфекционные болезни;;
55.5;55.5;;;Паразитарные болезни;;
55.6;55.6;;;Фтизиатрия;;
55.8;55.8;;;Ревматология;;
55.81;55.81;;;Онкология;;
55.83;55.83;;;Дерматовенерология;;
56.1;56.1;;;Венерология;;
56.12;56.12;;;Дерматология;;
56.13;56.13;;;Невропатология. Нейрохирургия. Психиатрия;;
56.14;56.14;;;Невропатология;;
;;;;Нейрохирургия;;
;;;;Психиатрия;;
56.6;56.6;Стоматология;;;;
56.7;56.7;Офтальмология;;;;
56.8;56.8;Оториноларингология;;;;
56.9;56.9;Урология;;;;
57.0;57.0;Медицинская сексология;;;;
57.01;57.01;Физиология половой жизни (сексуальное поведение);;;;
;57.02;Гигиена половой жизни. Гигиена брака;;;;
57.05;57.05;Сексопатология;;;;
57.1;57.1;Гинекология;;;;
57.12;57.12;Физиологические и патофизиологические особенности женского;;;;
;;организма;;;;
57.14;57.14;Гигиена женщины;;;;
57.15;57.15;Женские болезни;;;;
57.16;57.16;Акушерство;;;;
57.3;57.3;Педиатрия;;;;
;57.30;Неонатология;;;;
57.31;57.31;Анатомо-физиологические особенности детского возраста;;;;
57.32;57.32;Развитие детей;;;;
57.33;57.33;Болезни детей;;;;
;57.4;Гериатрия;;;;
;57.8;Хрономедицина;;;;
58;58;Прикладные отрасли медицины;;;;
45875;45875;Социальные (общественные) и гуманитарные науки;;;;
60;60;Социальные науки в целом. Обществознание;;;;
;60.0;Социальная философия;;;;
;60.03;Философия истории;;;;
;60.033;Типология общества;;;;
60.5;60.5;Социология;;;;
;60.51;История социологии;;;;
;60.52;Общество в целом.;;;;
;;Общие характеристики социума;;;;
;;;;;;
;60.524;Социальные и социокультурные изменения,;;;;
;;процессы и состояния;;;;
;60.526;Образ жизни;;;;
;60.527;Общественное мнение;;;;
;60.53;Социология личности;;;;
60.54;60.54;Социология групп;;;;
60.55;;;См. 60.53 Социология личности;;;
;60.55;Социология организаций;;;;
60.56;60.56;Отраслевые, специальные социологии.;;;;
;;Социальные институты;;;;
;60.561.2;Экономическая социология;;;;
;60.561.3;Политическая социология;;;;
;60.561.5;Социология семьи, родства, брака.;;;;
;;Социология половых отношений;;;;
;60.561.7;Социология социальной помощи и социального обеспечения.;;;;
;;Социология благотворительной деятельности;;;;
60.59;60.59;Региональная социология;;;;
60.6;60.6;Статистика;;;;
60.7;60.7;Демография;;;;
;60.8;Социальное управление;;;;
;60.82;Управленческая деятельность;;;;
;60.83;Системы социального управления;;;;
;60.84;Коммуникация и информация;;;;
;;в процессе управления;;;;
;60.844;Делопроизводство. Документооборот;;;;
;60.88;Управленческое консультирование;;;;
;60.9;Социальная защита. Социальная работа;;;;
;60.93;История социальной работы;;;;
;60.94;Организация социальной помощи,;;;;
;;социальной работы;;;;
;60.95;Технология социальной помощи,;;;;
;;социальной работы;;;;
;60.99;Социальная помощь отдельным категориям населения;;;;
;;;;;;
;;;;;;
63;63;История. Исторические науки;;;;
63.2;63.2;Источниковедение. Вспомогательные исторические дисциплины;;;;
63.3;63.3;История;;;;
63.3(0);63.3(0);Всемирная история;;;;
63.3(0)2;63.3(0)2;Первобытное общество;;;;
63.3(0)3;63.3(0)3;Древний мир;;;;
63.3(0)31;63.3(0)31;Древний Восток;;;;
63.3(0)32;63.3(0)32;Античный мир;;;;
63.3(0)4;63.3(0)4;Средние века (V – XV вв.);;;;
63.3(0)5;63.3(0)5;Новое время (XVI – 1918 г.);;;;
63.3(0)51;63.3(0)51;Период XVI в. – 1789 г.;;;;
63.3(0)52;63.3(0)52;Период 1789 – 1870 гг.;;;;
63.3(0)53;63.3(0)53;Период 1870 – 1918 гг.;;;;
63.3(0)6;63.3(0)6;Новейшая история (1918 г. - );;;;
63.3(0)61;63.3(0)61;Период 1918 – 1939 гг.;;;;
63.3(0)62;63.3(0)62;Период Второй мировой войны (1939 – 1945);;;;
63.3(0)63;63.3(0)63;Период 1945 г. - конец 80-х гг. XX в.;;;;
63.3(0)64;63.3(0)64;Период с конца 80-х гг. XX в. -;;;;
63.3(0=…);63.3(0=…);История отдельных народов, живущих рассредоточено в;;;;
;;различных странах;;;;
63.3(2);63.3(2);История России;;;;
63.3(2)л6;63.3(2)л6;Исторические музеи. Исторические памятники и памятные места.;;;;
;;Охрана исторических памятников;;;;
63.3(2)2;63.3(2)2;Древнейшие племена и государства на территории России в I тыс.;;;;
;;до н. э. – IX в. н. э.;;;;
63.3(2)4;63.3(2)4;Россия в IX – XVII вв.;;;;
63.3(2)41;63.3(2)41;Древняя Русь (IX – начало XIII в.);;;;
;63.3(2)42;Русь в XIII-XV вв.;;;;
63.3(2)43;63.3(2)43;Российское государство во II пол. XV – XVI вв. (Московское;;;;
;;царство);;;;
63.3(2)44;63.3(2)44;Российское государство в конце XVI – начале XVII вв.;;;;
63.3(2)45;63.3(2)45;Российское государство в XVII в.;;;;
;;;;;;
63.3(2)46;;;См. 63.3(2)51 Россия в конце XVII –;;;
;;;XVIII в.;;;
63.3(2)47;;;См. 63.3(2)52 Россия в XIX в.;;;
63.3(2)5;63.3(2)5;Россия в конце XVII в. – 1917 г.;;;;
63.3(2)51;63.3(2)51;Россия в конце XVII – XVIII в.;;;;
63.3(2)511;63.3(2)511;Россия в 1682 — 1725 гг.;;;;
63.3(2)512;63.3(2)512;Россия в 1725 — 1762 гг.;;;;
63.3(2)513;63.3(2)513;Россия в 1762 — 1801 гг.;;;;
63.3(2)52;63.3(2)52;Россия в XIX в.;;;;
63.3(2)521;63.3(2)521;Россия в I пол. XIX в.;;;;
63.3(2)522;63.3(2)522;Россия в конце 50-х – I пол. 90-х гг. XIX в.;;;;
63.3(2)53;63.3(2)53;Россия II пол. 90-х гг. XIX в. – октябрь 1917 г.;;;;
;63.3(2)53-7;Культура Серебряного века;;;;
63.3(2)6;63.3(2)6;Россия с октября 1917 г. -;;;;
63.3(2)6-2;63.3(2)6-2;Социально-экономические отношения;;;;
63.3(2)6-28;63.3(2)6-28;Социальная структура общества;;;;
63.3(2)6-3;63.3(2)6-3;Политический строй. Внутренняя политика. Внутреннее;;;;
;;положение;;;;
63.3(2)6-36;;;См. 63.3(2)6-38 Национальная политика. Национальные отношения;;;
63.3(2)6-4;63.3(2)6-4;;См. 63.3(2)6-361 Политические репрессии;;;
;;;См. 63.3(2)6-362 Политическая эмиграция;;;
63.3(2)6-6;63.3(2)6-6;Международные отношения, внешняя политика;;;;
63.3(2)6-7;63.3(2)6-7;Культура. Идеология. Быт;;;;
63.3(2)6-8;63.3(2)6-8;Персоналии;;;;
63.3(2)61;63.3(2)61;Россия и СССР с Октября 1917 до 1939 гг.;;;;
63.3(2)611;63.3(2)611;Период Октябрьской революции и установления советской власти;;;;
;;(октябрь 1917 – середина 1918 г.);;;;
63.3(2)612;63.3(2)612;Период гражданской войны (1918 – 1920);;;;
63.3(2)612.8;63.3(2)612,8;Участники гражданской войны;;;;
63.3(2)613;63.3(2)613;Период восстановления народного хозяйства. Новая;;;;
;;экономическая политика (НЭП) (1921 – конец 20-х гг.);;;;
;;;;;;
63.3(2)614;63.3(2)614;СССР в период с конца 20-х гг. XX в. – 1939 г.;;;;
;63.3(2)614-361;Массовые репрессии;;;;
63.3(2)62;63.3(2)62;СССР в период Второй мировой и Великой Отечественной войн;;;;
;;(1939 – 1945);;;;
63.3(2)621;63.3(2)621;СССР в период с сентября 1939 - июнь 1941 г.;;;;
63.3(2)622;63.3(2)622;СССР в период Великой Отечественной войны (1941 – 1945);;;;
63.3(2)622-2;63.3(2)622-2;Социально-экономические отношения;;;;
;63.3(2)622-38;Национальная политика;;;;
63.3(2)622-4;;;См. 63.3(2)614-361 Политические репрессии;;;
;;;См. 63.3(2)6-38 Национальная политика;;;
63.3(2)622.1;63.3(2)622,1;Военные действия на фронтах Великой Отечественной войны;;;;
63.3(2)622.11;63.3(2)622,11;Первый период Великой Отечественной войны (июнь 1941 –;;;;
;;ноябрь 1942 г.);;;;
63.3(2)622.12;63.3(2)622,12;Второй период Великой Отечественной войны (ноябрь 1942 –;;;;
;;конец 1943 г.);;;;
63.3(2)622.13;63.3(2)622,13;Третий период Великой Отечественной войны (1944 – 1945);;;;
;63.3(2)622,14;Война с Японией (август — сентябрь 1945 гг.);;;;
;63.3(2)622,4;Народное ополчение;;;;
63.3(2)622.5;63.3(2)622,5;Партизанское движение;;;;
63.3(2)622.6;63.3(2)622,6;Оккупационный режим. Потери. Разрушения;;;;
;63.3(2)622,7;Военнопленные. Перемещенные лица;;;;
63.3(2)622.72;;;См. 63.3(2)622,9 Отдельные местности в Великой Отечественной войне;;;
;;;СТ. 63.3(2)622,82;;;
;;;Персоналии участников Великой Отечественной войны;;;
63.3(2)622.78;;;См. 63.3(2)622,8 Участники;;;
;;;Великой Отечественной войны;;;
;63.3(2)622,8;Участники Великой Отечественной войны;СТ. 63.3(2)622,88;;;
;;;Персоналии участников Великой Отечественной войны;;;
;;;;;;
;63.3(2)622,9;Отдельные местности в Великой Отечественной;Новый индекс;;;
;;войне;;;;
63.3(2)63;63.3(2)63;СССР в 1945 – 1991 гг.;;;;
63.3(2)631;63.3(2)631;СССР с 1945 по март 1953 г.;;;;
;63.3(2)631-361;Массовые репрессии;;;;
63.3(2)632;63.3(2)632;СССР в 1953 – 1964 гг.;;;;
;63.3(2)633;СССР в 1965 – 1985 гг.;;;;
;63.3(2)634;СССР в 1985 – 1991 гг.;;;;
63.3(2)635;;;См. 63.3(2)634 СССР в 1985 – 1991;;;
;;;гг.;;;
63.3(2)64;63.3(2)64;Россия с 1992 г. -;;;;
;63.3(2)64-38;Национальная политика;;;;
63.3(2)64-36;;;См. 63.3(2)64-38 Национальная политика;;;
63.3(2…);63.3(2…);История отдельных местностей России;;;;
;63.3(29=);История отдельных народов на территории России;;;;
63.3(2Рос);;;См. 63.3(2)64 Россия с 1992 г. - .;;;
;;;Российская Федерация;;;
63.3(2Рос…);;;См. соответственно 63.3(2…) и 63.3(29=…);;;
63.3(4/8);63.3(4/8);История частей света и отдельных зарубежных стран;;;;
63.3(4);63.3(4);История Европы;;;;
;63.3(4)4;Европа в Средние века (V — XV вв.);;;;
;63.3(4)5;Европа в XVI – 1918 г.;;;;
;63.3(4)6;Европа с 1918 г. -;;;;
63.3(5);63.3(5);История Азии;;;;
63.3(6);63.3(6);История Африки;;;;
63.3(7);63.3(7);История Америки;;;;
63.3(8);63.3(8);История Австралии и Океании;;;;
63.4;63.4;Археология;;;;
63.4(2);63.4(2);Археология России;;;;
63.4(3);63.4(3);Археология зарубежных стран;;;;
63.5;63.5;Этнология (этнография, народоведение);;;;
63.5(2);;;См. 63.52 Этнология современных;;;
;;;;;;
;;;народов;;;
;;;См. 63.529 Этнология отдельных территорий;;;
63.5(3);;;См. 63.52 Этнология современных народов;;;
;;;См. 63.529 Этнология отдельных территорий;;;
;63.52;Этнология современных народов;;;;
;63.529;Этнология отдельных территорий;;;;
65;65;Экономика. Экономические науки;;;;
;65в;Философия хозяйства;;;;
65в6;65в6;Методы экономических исследований;;;;
65с;;;См. 65 Экономика. Экономические;;;
;;;науки;;;
65.01;65.01;Общая экономическая теория;;;;
65.011;65.011;Общие основы экономики;;;;
65.011.3;65.011.3;Основы рыночного хозяйства;;;;
65.012;65.012;Микроэкономика. Мезоэкономика.;;;;
;;Макроэкономика. Мегаэкономика;;;;
65.012.1;65.012.1;Микроэкономика;;;;
65.012.2;;;Cм. 65.012.3 Макроэкономика;;;
;65.012.2;Мезоэкономика;;;;
65.012.3;;;Cм. 65.012.4 Мегаэкономика;;;
;65.012.3;Макроэкономика;;;;
;65.012.4;Мегаэкономика;;;;
65.013;65.013;Теория стадий экономического развития;;;;
65.013.1;;;См. 65.013 Теория стадий;;;
;;;экономического развития;;;
65.013.5;;;См. 65.013 Теория стадий;;;
;;;экономического развития;;;
65.013.7;;;См. 65.013 Теория стадий;;;
;;;экономического развития;;;
;;;;;;
65.013.8;;;См. 65.013 Теория стадий;;;
;;;экономического развития;;;
65.02;65.02;История экономической мысли;;;;
;65.03;Экономическая история (история хозяйства);;;;
65.04;65.04;Экономическая география и региональная экономика;;;;
65.049;65.049;Экономическая география и региональная экономика отдельных;;;;
;;стран.;;;;
65.049(2);;;См. 65.049(2Рос) Экономическая география и региональная;;;
;;;экономика России;;;
;65.049(2);Экономическая география и региональная экономика России;;;;
65.05;65.05;Управление экономикой. Экономическая статистика. Учет. Аудит.;;;;
;;Экономический анализ. Планирование. Прогнозирование;;;;
65.050;65.050;Управление экономикой;;;;
65.050.2;;;См. 65.050 Управление экономикой;;;
65.051;65.051;Экономическая статистика;;;;
65.052;65.052;Учет. Аудит;;;;
;65.052.2;Учет. Бухгалтерский учет;;;;
65.052.21;;;См. 65.052.2 Учет. Бухгалтерский;;;
;;;учет;;;
;65.052.23;Учет жизненного цикла организации. Учет отдельных;;;;
;;хозяйственных операций, имущества и обязательств организации;;;;
;65.052.24;Учет в отдельных видах организаций;;;;
;65.052.25;Учет в отраслях экономики;;;;
;65.052.253.0;Учет в промышленности;;;;
;65.052.253.2;Учет в сельском хозяйстве;;;;
65.052.5;;;См. 65.052.25 Учет в отраслях;;;
;;;экономики;;;
;65.052.8;Аудит;;;;
65.053;65.053;Экономический анализ;Аудит см. 65.052.8 Аудит;;;
;;(анализ хозяйственной деятельности);;;;
;65.054;Планирование. Прогнозирование;;;;
65.2/4;65.2/4;Сектора и отрасли экономики.;;;;
;;Межотраслевые комплексы;;;;
;65.20;Сектора экономики;;;;
;;;;;;
;65.209;Неформальный сектор;;;;
;65.22;Экономика недвижимости;;;;
65.23;;;См. 65.054 Планирование.;;;
;;;Прогнозирование;;;
65.24;65.24;Экономика труда;;;;
65.240;65.240;Трудовые ресурсы;;;;
65.241;65.241;Производительность труда;;;;
65.242;65.242;Организация труда. Нормирование труда;;;;
65.244;65.244;Рабочее время;;;;
65.245;65.245;Оплата труда;;;;
;65.246;Охрана труда;;;;
65.247;;;См. 65.246 Охрана труда;;;
65.248;65.248;Международные отношения в области труда;;;;
;65.25;Цены. Ценообразование;;;;
65.26;65.26;Финансы;;;;
65.261;65.261;Финансовая система;;;;
;65.261.1;Государственные финансы;;;;
65.261.3;65.261.3;Государственный бюджет;;;;
65.261.4;65.261.4;Доходы государственного бюджета;;;;
65.261.5;65.261.5;Расходы государственного бюджета;;;;
;65.261.6;Государственный кредит;;;;
;65.261.7;Региональные и местные (муниципальные) финансы;;;;
65.261.8;;;См. 65.261.7 Региональные и;;;
;;;местные финансы;;;
;65.261.8;Государственный финансовый контроль;;;;
65.262;65.262;Кредитно-денежная система;;;;
65.262.1;;;См. 262 Кредитно-денежная;;;
;;;система;;;
65.262.2;;;См. 262 Кредитно-денежная;;;
;;;система;;;
65.262.4;;;См. 65.262.3 Организация расчетов;;;
65.262.6;65.262.6;Денежное обращение;;;;
;65.263;Инвестиции;;;;
;65.264;Рынок ценных бумаг (фондовый рынок,;;;;
;;;;;;
;;рынок капитала);;;;
65.268;65.268;Международные финансовые отношения;;;;
65.27;65.27;Страхование. Социальное страхование. Социальное обеспечение;;;;
65.271;65.271;Страхование;;;;
65.272;65.272;Социальное страхование. Социальное обеспечение;;;;
65.278;;;См. 60.9 Социальная защита.;;;
;;;Социальная работа;;;
65.28;65.28;Экономика природных ресурсов, природопользования и охраны;;;;
;;окружающей среды;;;;
65.29;65.29;Бизнес. Предпринимательство. Экономика организации;;;;
;;(предприятия, фирмы);;;;
65.290;65.290;Общие вопросы бизнеса и предпринимательства;;;;
65.290-2;;;См. 65.291.2 Внутрифирменное управление. Внутрифирменное;;;
;;;планирование. Контроль;;;
65.290-5;;;См. 65.291.5 Экономический потенциал организации (предприятия, фирмы);;;
;;;См. 65.291.59 Материально- техническое обеспечение.;;;
;;;Логистика;;;
65.290-80;;;См. 65.291.8 Организация производства;;;
;;;См. 65.291.82 Продукция. Товары. Услуги;;;
65.290-86;;;См. 65.291.86Стоимость и себестоимость продукции, товаров;;;
;;;и услуг;;;
65.290-93;;;См. 65.291.9 Финансы предприятий;;;
65.291;;;См. 65.292 Экономика отдельных типов и видов организаций;;;
;;;(предприятий, фирм);;;
;65.291;Экономика организации (предприятия, фирмы);;;;
;65.291.2;Внутрифирменное управление. Внутрифирменное планирование.;Методическое решение:;;;
;;Контроль;вся литература по;;;
;;;;;;
;;;делопроизводству на предприятии и в организации см. 60.8;;;
;65.291.3;Маркетинг;;;;
;65.291.5;Экономический потенциал организации (предприятия, фирмы);;;;
;65.291.59;Материально-техническое обеспечение. Логистика;;;;
;65.291.6;Кадры (персонал) предприятия (организации, фирмы);;;;
;65.291.8;Организация производства;;;;
;65.291.8-4;Специализация, кооперирование, диверсификация производства;;;;
;65.291.82;Продукция. Товары. Услуги;;;;
;65.291.86;Стоимость и себестоимость продукции, товаров и услуг;;;;
;65.291.9;Финансы предприятий;;;;
65.292;65.292;Экономика отдельных типов и видов организаций (предприятий,;;;;
;;фирм);;;;
65.293;;;См. 65.292 Экономика отдельных типов и видов организаций;;;
;;;(предприятий, фирм);;;
65.298;65.298;Международное предпринимательство. Внешнеэкономическая;;;;
;;деятельность предприятия (организации, фирмы);;;;
65.30;65.30;Экономика промышленности;;;;
65.301;65.301;Экономика промышленного предприятия;;;;
65.304;;;См. 65.305 Экономика межотраслевых промышленных;;;
;;;комплексов и отдельных отраслей промышленности;;;
65.304.11;;;См. 65.305.1;;;
;;;Добывающие отрасли промышленности;;;
65.304.12;;;См. 65.305.2 Металлургическая;;;
;;;промышленность;;;
65.304.13;;;См. 65.305.14;;;
;;;Топливно-энергетический комплекс;;;
65.304.14;;;См. 65.305.14;;;
;;;Топливно-энергетический комплекс;;;
65.304.15;;;См. 65.305.4 Машиностроительная,;;;
;;;;;;
;;;металлообрабатывающая;;;
;;;промышленность;;;
65.304.17;;;См. 65.305.3 Химическая;;;
;;;промышленность;;;
65.304.18;;;См. 65.305.5 Лесообрабатывающая;;;
;;;промышленность;;;
65.304.19;;;См. 65.305.6 Промышленность;;;
;;;строительных материалов;;;
65.304.22;;;См. 65.305.7;;;
;;;Легкая и пищевая промышленность;;;
65.304.25;;;См. 65.305.7;;;
;;;Легкая и пищевая промышленность;;;
65.304.9;;;См. 65.305.9 Другие отрасли;;;
;;;промышленности;;;
;65.305;Экономика межотраслевых промышленных комплексов и;;;;
;;отдельных отраслей промышленности;;;;
;65.305.1;Добывающие отрасли промышленности;;;;
;65.305.14;Топливно-энергетический комплекс;;;;
;65.305.2;Металлургическая промышленность;;;;
;65.305.3;Химическая промышленность;;;;
;65.305.4;Машиностроительная, металлообрабатывающая промышленность;;;;
;65.305.42;Тяжелое, энергетическое и транспортное машиностроение;;;;
;65.305.44;Электротехническая промышленность;;;;
;65.305.46;Приборостроение. Точное машиностроение;;;;
;65.305.47;Электронная промышленность и промышленность средств связи;;;;
;65.305.5;Лесообрабатывающая промышленность;;;;
;65.305.6;Промышленность строительных материалов;;;;
;65.305.7;Легкая и пищевая промышленность;;;;
;65.305.8;Микробиологическая и медицинская промышленность;;;;
;65.305.9;Экономика других отраслей промышленности;;;;
65.31;65.31;Экономика строительства;;;;
65.315;65.315;Экономика отраслей строительства;;;;
65.32;65.32;Экономика сельского хозяйства;;;;
65.32-1;;;См. 65.32-18 Аграрная политика.;;;
;;;Аграрные реформы;;;
;;;;;;
;65.32-18;Аграрная политика. Аграрные реформы;;;;
65.32-4;;;См. 65.32-45 Размещение и специализация сельскохозяйственного производства. Экономическое районирование;;;
;;;сельскохозяйственного производства;;;
;65.32-45;Размещение и специализация сельскохозяйственного производства. Экономическое районирование;;;;
;;сельскохозяйственного производства;;;;
65.32-5;65.32-5;Земельные фонды и их использование;Материально-техническая база агропромышленного комплекса см.;;;
