bbk_full;bbk_abb;description;changes;;;
26.89;26.89;Страноведение. Краеведение;;;;
;26.89(0);Весь мир. Все страны;;;;
;26.89(2Рос);Россия;;;;
;26.89(4);Европа;;;;
;26.89(5);Азия;;;;
;26.89(6);Африка;;;;
;26.89(7);Америка;;;;
;26.89(8);Австралия и Океания;;;;
;26.89(9);Мировой океан. Океаны и моря;;;;
28;28;Биологические науки;;;;
28г;28г;История биологических наук в целом;;;;
28с;28с;Техника и организация биологических исследований;;;;
28.0;28.0;Общая биология;;;;
45685;45685;Жизнь и её происхождение;;;;
45716;45716;Развитие органического мира (филогенез). Эволюционная;;;;
;;биология;;;;
45744;45744;Индивидуальное развитие организма (онтогенез). Биология;;;;
;;развития;;;;
45775;45775;Общая генетика;;;;
45805;45805;Общая цитология;;;;
45836;45836;Общая морфология. Общая гистология;;;;
45866;45866;Физико-химическая биология. Общая биофизика, биохимия и;;;;
;;физиология. Иммунология;;;;
28.070;28.070;Физико-химическая биология;;;;
28.071;28.071;Общая биофизика;;;;
28.072;28.072;Общая биохимия;;;;
28.073;28.073;Общая физиология;;;;
28.074;28.074;Иммунология;;;;
45897;45897;Общая экология, паразитология и биогеография. Прикладная;Измененная формулировка;;;
;;биология;;;;
28.080;28.080;Общая экология;;;;
28.080.1;28.080.1;Факториальная экология;;;;
28.080.3;28.080.3;Экология надорганизменных биосистем;;;;
;;;;;;
28.082;28.082;Гидробиология;;;;
28.083;28.083;Паразитология;;;;
28.085;28.085;Биогеография;;;;
28.087;28.087;Прикладная биология;;;;
28.088;28.088;Охрана живой природы;;;;
28.088л6;28.088л6;Заповедники. Заказники. Национальные парки;;;;
28.089;28.089;Космическая биология;;;;
45928;45928;Общая систематика;;;;
45685;45685;Палеонтология;;;;
45744;45744;Вирусология;;;;
45775;45775;Микробиология;;;;
45805;45805;Ботаника;;;;
28.5л6;28.5л6;Ботанические сады;;;;
28.5с;28.5с;Техника и организация ботанических исследований;;;;
28.52;28.52;Происхождение и эволюция растений (филогенез). Эволюционная;;;;
;;биология растений;;;;
28.53;28.53;Индивидуальное развитие растений (онтогенез). Биология;;;;
;;развития растений;;;;
28.54;28.54;Генетика растений;;;;
28.55;28.55;Цитология растений;;;;
28.56;28.56;Морфология, анатомия и гистология растений;;;;
28.57;28.57;Биофизика, биохимия, физиология и иммунология растений;;;;
28.58;28.58;Экология и география растений. Охрана растений;;;;
28.588;28.588;Охрана растений;;;;
28.59;28.59;Систематика растений;;;;
28.591;28.591;Низшие растения;;;;
28.592;28.592;Высшие растения;;;;
28.592.1;28.592.1;Моховидные (бриофиты);;;;
28.592.3;28.592.3;Хвощевидные (эквизетофиты);;;;
28.592.5;28.592.5;Папоротниковые (полиподиофиты);;;;
28.592.6;28.592.6;Голосеменные;;;;
28.592.7;28.592.7;Покрытосеменные (цветковые растения, магнолифиты);;;;
28.592.71;28.592.71;Однодольные (лилиопсиды);;;;
28.592.72;28.592.72;Двудольные (магнолиопсиды);;;;
;;;;;;
45836;45836;Зоология;;;;
28.6л6;28.6л6;Зоологические парки, сады и музеи;;;;
28.6с;28.6с;Техника и организация зоологических исследований;;;;
28.62;28.62;Происхождение и эволюция животных (филогенез).;;;;
;;Эволюционная биология животных;;;;
28.63;28.63;Индивидуальное развитие животных (онтогенез). Биология;;;;
;;развития животных;;;;
28.64;28.64;Генетика животных;;;;
28.65;28.65;Цитология животных;;;;
28.66;28.66;Морфология, анатомия и гистология животных;;;;
28.67;28.67;Биофизика, биохимия, физиология и иммунология животных;;;;
28.671;28.671;Биофизика животных;;;;
28.672;28.672;Биохимия животных;;;;
28.673;28.673;Физиология животных;;;;
28.674;28.674;Иммунология животных;;;;
28.68;28.68;Экология и география животных;;;;
28.680;28.680;Экология животных;;;;
28.685;28.685;География животных (зоогеография) и фаунистика;;;;
;28.688;Охрана животных;;;;
28.69;28.69;Систематика животных;;;;
28.691;28.691;Беспозвоночные. Зоология беспозвоночных;;;;
28.691.8;28.691.8;Членистоногие;;;;
28.691.89;28.691.89;Насекомые. Энтомология;;;;
28.693;28.693;Хордовые;;;;
28.693.3;28.693.3;Позвоночные. Зоология позвоночных;;;;
28.693.32;28.693.32;Рыбы. Ихтиология;;;;
28.693.33;28.693.33;Земноводные. Батрахиология;;;;
28.693.34;28.693.34;Пресмыкающиеся. Герпетология;;;;
28.693.35;28.693.35;Птицы. Орнитология;;;;
28.693.36;28.693.36;Млекопитающие. Териология;;;;
45866;45866;Биология человека. Антропология;;;;
28.70;28.70;Биология человека;;;;
28.703;28.703;Биология развития человека;;;;
28.704;28.704;Генетика человека (антропогенетика);;;;
;;;;;;
28.705;28.705;Цитология человека;;;;
28.706;28.706;Анатомия и гистология человека;;;;
